[00:00:00] ts,player,dmg done,dmg taken,healing done,ult charge,elims,deaths
[00:01:03] 63.23,Matrix,898.97,102.75,0,89,1,0
[00:01:04] 64.11,Ana,20,230,93.75,20,0,1
[00:01:04] 64.11,Lúcio,82.75,710.97,143.22,18,0,0
[00:01:04] 64.24,Matrix,940.97,102.75,0,94,1,0
[00:01:05] 65.12,Ana,20,230,93.75,20,0,1
[00:01:05] 65.12,Lúcio,82.75,716.28,146.76,18,0,0
[00:01:05] 65.25,Matrix,946.28,102.75,0,94,1,0
[00:01:06] 66.13,Ana,20,230,93.75,20,0,1
[00:01:06] 66.13,Lúcio,82.75,716.28,149.13,18,0,0
[00:01:06] 66.25,Matrix,946.28,102.75,0,94,1,0
[00:01:07] 67.14,Ana,20,230,112.50,22,0,1
[00:01:07] 67.14,Lúcio,82.75,716.28,152.67,19,0,0
[00:01:07] 67.26,Matrix,946.28,102.75,0,95,1,0
[00:01:08] 68.14,Ana,20,230,127.50,23,0,1
[00:01:08] 68.14,Lúcio,82.75,716.28,155.03,19,0,0
[00:01:08] 68.27,Matrix,946.28,102.75,0,95,1,0
[00:01:09] 69.15,Ana,20,230,131.25,23,0,1
[00:01:09] 69.15,Lúcio,82.75,716.28,157.40,19,0,0
[00:01:09] 69.28,Matrix,946.28,102.75,0,96,1,0
[00:01:10] 70.16,Ana,20,242,131.25,23,0,1
[00:01:10] 70.16,Lúcio,82.75,716.28,157.40,19,0,0
[00:01:10] 70.29,Matrix,994.28,106.75,0,100,1,0
[00:01:11] 71.17,Ana,20,278,131.25,23,0,1
[00:01:11] 71.17,Lúcio,94.75,716.28,161.62,20,0,0
[00:01:11] 71.29,Matrix,994.28,114.75,0,100,1,0
[00:01:12] 72.18,Ana,20,278,131.25,24,0,1
[00:01:12] 72.18,Lúcio,94.75,758.28,165.87,21,0,0
[00:01:12] 72.30,Matrix,1060.28,118.75,0,100,1,0
[00:01:13] 73.18,Ana,20,278,131.25,24,0,1
[00:01:13] 73.18,Lúcio,110.75,878.28,174.39,22,0,0
[00:01:13] 73.31,Matrix,1156.28,130.75,0,100,1,0
[00:01:14] 74.19,Ana,20,278,131.25,24,0,1
[00:01:14] 74.19,Lúcio,117,878.28,183.99,22,0,0
[00:01:14] 74.32,Matrix,1174.28,137,0,100,1,0
[00:01:15] 75.20,Ana,20,278,131.25,24,0,1
[00:01:15] 75.20,Lúcio,117,926.28,191.67,23,0,0
[00:01:15] 75.33,Matrix,1204.28,137,0,100,1,0
[00:01:16] 76.21,Ana,20,278,131.25,25,0,1
[00:01:16] 76.21,Lúcio,117,926.28,199.35,23,0,0
[00:01:16] 76.33,Matrix,1204.28,137,0,100,1,0
[00:01:17] 77.21,Ana,20,278,131.25,25,0,1
[00:01:17] 77.21,Lúcio,117,926.28,204.08,23,0,0
[00:01:17] 77.34,Matrix,1204.28,137,0,100,1,0
[00:01:18] 78.22,Ana,20,386,131.25,25,0,1
[00:01:18] 78.22,Lúcio,117,926.28,207.62,24,0,0
[00:01:18] 78.35,Matrix,1324.28,137,0,100,1,0
[00:01:19] 79.23,Ana,20,398,131.25,25,0,1
[00:01:19] 79.23,Lúcio,117,926.28,209.98,24,0,0
[00:01:19] 79.36,Matrix,1324.28,137,0,100,1,0
[00:01:20] 80.24,Ana,20,434,131.25,26,0,1
[00:01:20] 80.24,Lúcio,117,926.28,212.35,24,0,0
[00:01:20] 80.37,Matrix,1372.28,137,0,100,1,0
[00:01:21] 81.25,Ana,20,478,131.25,26,0,2
[00:01:21] 81.25,Lúcio,117,926.28,215.89,24,0,0
[00:01:21] 81.38,Matrix,1404.28,137,0,100,2,0
[00:01:22] 82.25,Ana,20,478,131.25,26,0,2
[00:01:22] 82.25,Lúcio,117,926.28,218.25,25,0,0
